  Current Time (s),Current Time (years),Pore Volume,Phase1-S8- Volume rate,Phase1-S8- Cumulative production
 0.90000000000E+02,0.28538812785E-05,0.16000000000E-03,0.55499993338E-08,0.49949994004E-06
 0.18000000000E+03,0.57077625571E-05,0.16000000000E-03,0.55499993338E-08,0.99899988008E-06
 0.27000000000E+03,0.85616438356E-05,0.16000000000E-03,0.55499993338E-08,0.14984998201E-05
 0.36000000000E+03,0.11415525114E-04,0.16000000000E-03,0.55499993338E-08,0.19979997602E-05
 0.45000000000E+03,0.14269406393E-04,0.16000000000E-03,0.55499993338E-08,0.24974997002E-05
 0.54000000000E+03,0.17123287671E-04,0.16000000000E-03,0.55499993338E-08,0.29969996402E-05
 0.63000000000E+03,0.19977168950E-04,0.16000000000E-03,0.55499993338E-08,0.34964995803E-05
 0.72000000000E+03,0.22831050228E-04,0.16000000000E-03,0.55499993338E-08,0.39959995203E-05
 0.81000000000E+03,0.25684931507E-04,0.16000000000E-03,0.55499993338E-08,0.44954994603E-05
 0.90000000000E+03,0.28538812785E-04,0.16000000000E-03,0.55499993338E-08,0.49949994004E-05
 0.99000000000E+03,0.31392694064E-04,0.16000000000E-03,0.55499993338E-08,0.54944993404E-05
 0.10800000000E+04,0.34246575342E-04,0.16000000000E-03,0.55499993338E-08,0.59939992805E-05
 0.11700000000E+04,0.37100456621E-04,0.16000000000E-03,0.55499993338E-08,0.64934992205E-05
 0.12600000000E+04,0.39954337900E-04,0.16000000000E-03,0.55499993338E-08,0.69929991605E-05
 0.13500000000E+04,0.42808219178E-04,0.16000000000E-03,0.55499993338E-08,0.74924991006E-05
 0.14400000000E+04,0.45662100457E-04,0.16000000000E-03,0.55499993338E-08,0.79919990406E-05
 0.15300000000E+04,0.48515981735E-04,0.16000000000E-03,0.55499993338E-08,0.84914989807E-05
 0.16200000000E+04,0.51369863014E-04,0.16000000000E-03,0.55499993338E-08,0.89909989207E-05
 0.17100000000E+04,0.54223744292E-04,0.16000000000E-03,0.55499993338E-08,0.94904988607E-05
 0.18000000000E+04,0.57077625571E-04,0.16000000000E-03,0.55499993338E-08,0.99899988008E-05
 0.18900000000E+04,0.59931506849E-04,0.16000000000E-03,0.55499993338E-08,0.10489498741E-04
 0.19800000000E+04,0.62785388128E-04,0.16000000000E-03,0.55499993338E-08,0.10988998681E-04
 0.20700000000E+04,0.65639269406E-04,0.16000000000E-03,0.55499993338E-08,0.11488498621E-04
 0.21600000000E+04,0.68493150685E-04,0.16000000000E-03,0.55499993338E-08,0.11987998561E-04
 0.22500000000E+04,0.71347031963E-04,0.16000000000E-03,0.55499993338E-08,0.12487498501E-04
 0.23400000000E+04,0.74200913242E-04,0.16000000000E-03,0.55499993338E-08,0.12986998441E-04
 0.24300000000E+04,0.77054794521E-04,0.16000000000E-03,0.55499993338E-08,0.13486498381E-04
 0.25200000000E+04,0.79908675799E-04,0.16000000000E-03,0.55499993338E-08,0.13985998321E-04
 0.26100000000E+04,0.82762557078E-04,0.16000000000E-03,0.55499993338E-08,0.14485498261E-04
 0.27000000000E+04,0.85616438356E-04,0.16000000000E-03,0.55499993338E-08,0.14984998201E-04
 0.27900000000E+04,0.88470319635E-04,0.16000000000E-03,0.55499993338E-08,0.15484498141E-04
 0.28800000000E+04,0.91324200913E-04,0.16000000000E-03,0.55499993338E-08,0.15983998081E-04
 0.29700000000E+04,0.94178082192E-04,0.16000000000E-03,0.55499993338E-08,0.16483498021E-04
 0.30600000000E+04,0.97031963470E-04,0.16000000000E-03,0.55499993338E-08,0.16982997961E-04
 0.31500000000E+04,0.99885844749E-04,0.16000000000E-03,0.55499993338E-08,0.17482497901E-04
 0.32400000000E+04,0.10273972603E-03,0.16000000000E-03,0.55499993338E-08,0.17981997841E-04
 0.33300000000E+04,0.10559360731E-03,0.16000000000E-03,0.55499993338E-08,0.18481497781E-04
 0.34200000000E+04,0.10844748858E-03,0.16000000000E-03,0.55499993338E-08,0.18980997721E-04
 0.35100000000E+04,0.11130136986E-03,0.16000000000E-03,0.55499993338E-08,0.19480497661E-04
 0.36000000000E+04,0.11415525114E-03,0.16000000000E-03,0.55499993338E-08,0.19979997602E-04
 0.36900000000E+04,0.11700913242E-03,0.16000000000E-03,0.55499993338E-08,0.20479497542E-04
 0.37800000000E+04,0.11986301370E-03,0.16000000000E-03,0.55499993338E-08,0.20978997482E-04
 0.38700000000E+04,0.12271689498E-03,0.16000000000E-03,0.55499993338E-08,0.21478497422E-04
 0.39600000000E+04,0.12557077626E-03,0.16000000000E-03,0.55499993338E-08,0.21977997362E-04
 0.40500000000E+04,0.12842465753E-03,0.16000000000E-03,0.55499993338E-08,0.22477497302E-04
 0.41400000000E+04,0.13127853881E-03,0.16000000000E-03,0.55499993338E-08,0.22976997242E-04
 0.42300000000E+04,0.13413242009E-03,0.16000000000E-03,0.55499993338E-08,0.23476497182E-04
